Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,1170.000000,1174.025024,1161.025024,1167.099976,1027.582397,180772
2017-01-31,1167.000000,1167.000000,1103.275024,1114.949951,981.666443,447766
2017-02-01,1112.175049,1119.974976,1081.000000,1084.724976,955.054565,609436
2017-02-02,1085.000000,1109.449951,1077.150024,1102.900024,971.057312,292880
2017-02-03,1102.900024,1121.000000,1096.000000,1116.875000,983.361328,160484
2017-02-06,1124.099976,1127.199951,1108.000000,1120.275024,986.355042,137052
2017-02-07,1120.500000,1125.000000,1113.000000,1122.400024,988.225708,122244
2017-02-08,1120.000000,1140.500000,1120.000000,1131.324951,996.083740,172196
2017-02-09,1135.000000,1165.449951,1134.500000,1162.125000,1023.202209,984414
2017-02-10,1152.000000,1210.449951,1152.000000,1198.349976,1055.096802,243032
2017-02-13,1201.650024,1212.500000,1191.375000,1205.150024,1061.083862,178652
2017-02-14,1207.000000,1207.500000,1198.250000,1201.474976,1057.847900,114198
2017-02-15,1200.000000,1213.500000,1189.175049,1207.849976,1063.461304,124852
2017-02-16,1225.000000,1238.750000,1218.150024,1223.449951,1077.196045,302020
2017-02-17,1226.025024,1237.000000,1201.074951,1204.074951,1060.137329,171908
2017-02-20,1209.500000,1277.500000,1206.000000,1253.250000,1103.434082,396012
2017-02-21,1258.000000,1262.500000,1227.599976,1232.150024,1084.856323,647770
2017-02-22,1232.500000,1235.724976,1201.000000,1204.775024,1060.753906,257518
2017-02-23,1205.000000,1245.500000,1205.000000,1240.824951,1092.493896,230636
2017-02-27,1240.500000,1250.000000,1236.525024,1244.449951,1095.685669,121912
2017-02-28,1244.449951,1245.625000,1225.775024,1233.250000,1085.824829,75554
2017-03-01,1242.000000,1250.500000,1235.699951,1240.025024,1091.789917,79962
2017-03-02,1240.000000,1255.000000,1239.550049,1250.574951,1101.078613,220154
2017-03-03,1250.500000,1250.500000,1238.000000,1246.175049,1097.204590,69636
2017-03-06,1237.500000,1241.224976,1227.449951,1235.324951,1087.651489,417268
2017-03-07,1236.000000,1253.724976,1236.000000,1250.349976,1100.880615,97596
2017-03-08,1249.500000,1260.000000,1246.000000,1256.949951,1106.691528,159064
2017-03-09,1256.949951,1262.449951,1251.750000,1259.775024,1109.178955,154960
2017-03-10,1262.500000,1274.250000,1259.750000,1270.900024,1118.973755,134058
2017-03-14,1275.000000,1292.000000,1275.000000,1281.175049,1128.020630,791322
2017-03-15,1282.500000,1285.000000,1248.025024,1250.150024,1100.704346,121088
2017-03-16,1250.500000,1262.500000,1250.500000,1259.474976,1108.914795,67864
2017-03-17,1274.000000,1274.000000,1256.224976,1263.425049,1112.392334,358458
2017-03-20,1259.000000,1261.699951,1233.525024,1240.400024,1092.119873,108378
2017-03-21,1241.000000,1246.949951,1233.000000,1243.074951,1094.475464,95616
2017-03-22,1243.500000,1247.500000,1235.000000,1239.550049,1091.371582,111480
2017-03-23,1239.000000,1243.000000,1224.250000,1229.449951,1082.478760,128716
2017-03-24,1232.500000,1235.000000,1211.849976,1213.375000,1068.325562,305624
2017-03-27,1214.000000,1220.500000,1203.500000,1206.050049,1061.875977,163488
2017-03-28,1206.050049,1220.925049,1206.050049,1214.925049,1069.690308,62040
2017-03-29,1215.625000,1223.949951,1213.275024,1221.875000,1075.809326,60344
2017-03-30,1220.000000,1232.500000,1217.500000,1221.875000,1075.809326,123922
2017-03-31,1219.500000,1220.000000,1207.425049,1215.550049,1070.240845,167886
2017-04-03,1217.500000,1217.500000,1205.000000,1206.650024,1062.404541,56716
2017-04-05,1208.500000,1209.250000,1197.500000,1201.425049,1057.803833,78544
2017-04-06,1200.599976,1205.025024,1195.000000,1199.875000,1056.439331,46120
2017-04-07,1200.000000,1215.000000,1197.199951,1213.550049,1068.479370,75810
